no,type,data1,case1,case2,case3,case4,img
272,3,"노인성 난청(Presbycusis)",청력장애,"노화, 감각신경성 난청",이비인후과,,3_6.jpg
273,3,"돌출귀(Prominent Ear)","펴진 귓바퀴","돌출귀, 매몰귀",성형외과,"당나귀귀,미키마우스귀,박쥐귀",3_7.jpg
274,3,"만성 비염(Chronic rhinitis)","후각장애, 기침, 재채기, 콧물, 코막힘","알레르기 비염, 비중격 만곡, 부비동염","호흡기내과, 이비인후과, 알레르기내과","비염,비후성 비염",3_8.jpg
275,3,"만성 중이염(Chronic otitis media)","어지러움, 귀의 통증, 이명, 환부의 분비물, 청력장애, 귀에서 냄새가 남","메니에르병, 삼출성 중이염, 급성 중이염, 현훈, 이명",이비인후과,"중이염,만성 중간귀 염",3_9.jpg
276,3,매몰귀(Cryptotia),"귀 상부가 두피에 매몰됨","선천성 기형",성형외과,,3_10.jpg
277,3,"메니에르병(Meniere's disease)","이명, 어지러움, 청력장애, 오심, 이폐색감","현훈, 난청",이비인후과,"내림프수종,메니에르 증후군",3_11.jpg
278,3,미로염(Labyrinthitis),"난청, 어지러움","홍역, 전정신경염, 만성 중이염",이비인후과,내이염,3_12.jpg
279,3,"비용종(Nasal polyp)","코막힘, 코골이, 콧물",부비동염,이비인후과,"코물혹,코버섯,코용종,콧속 물혹",3_13.jpg
280,3,"비인두 종양(Nasopharyngeal tumor)","난청, 환부 통증, 코막힘, 비출혈, 목 주변 부종, 복시","림프종, 삼차 신경병증, 난청, 악성 흑색종, 복시, 삼출성 중이염","산부인과, 신경외과, 이비인후과, 소아내분비대사과, 소아신경외과","비인두암,인두암",3_14.jpg
281,3,"삼출성 중이염(Otitis media with effusion)","청력장애, 난청, 환부의 분비물, 이명, 이폐색감","상기도 감염, 만성 중이염, 급성 중이염",이비인후과,"장액성 중이염,점액성 중이염",3_15.jpg
282,3,소이증(Microtia),"귀 모양의 변형, 청력장애","난청, 선천성 기형","성형외과, 이비인후과",작은귀증,3_16.jpg
283,3,"알레르기 비염(Allergic rhinitis)","콧물, 소양감, 재채기, 후각장애, 코막힘","부비동염, 천식, 아토피성 피부염, 상기도 감염, 만성 비염","이비인후과, 소아호흡기알레르기과, 알레르기내과","알러지비염,알러지성 비염,알레르기비염,알레르기성 비염",3_17.jpg
284,3,"외상에 의한 고막 천공(Traumatic rupture of ear drum [Traumatic tympanic membrane perforation])","청력장애, 이명, 환부의 분비물","아동 학대, 만성 중이염",이비인후과,"고막 천공,고막 파열,외상성 고막 천공,외상성고막파열",3_18.jpg
285,3,"외이도염(Otitis externa)","청력장애, 환부의 분비물, 악취, 피부소양감, 귀의 통증","만성 중이염, 삼출성 중이염, 고막염",이비인후과,외이도염증,3_19.jpg
286,3,이루증(Otorrhea),"귀의 통증, 소양감, 장액성 분비물, 환부의 분비물","만성 중이염, 급성 중이염, 삼출성 중이염",이비인후과,,3_20.jpg
288,3,"이석증(Benign paroxysmal vertigo)","안구진탕, 어지러움, 구토",전정신경염,이비인후과,"양성 돌발성 체위 현훈증,양성 발작성 현기증,양성 체위성 현훈,양성자세현훈",3_22.jpg
289,3,"전정신경염(Vestibular neuronitis)","이명, 설사, 어지러움, 발한, 구토, 권태감, 오심","이석증, 현훈",이비인후과,"안뜰 신경염",3_23.jpg
290,3,진주종(Cholesteatoma),"악취, 기억장애, 환부의 분비물, 청력장애","만성 중이염",이비인후과,"진주 모양 종양",3_24.jpg
291,3,"청신경초종(Vestibular schwannoma)","청력장애, 이명, 감각 이상, 어지러움","감각신경성 난청, 신경섬유종, 이명, 신경초종, 만성 중이염","신경외과, 이비인후과","청신경 양성종양,청신경 종양,Acoustic neuroma",3_25.jpg
292,3,"파라인플루엔자 감염증(Parainfluenza infection)","편도선 비대, 기침, 가래, 고막 충혈, 열, 식욕부진, 콧물, 구토","인후두염, 길랑-바레 증후군",감염내과,"파라인플루엔자,파라인플루엔자 감염",3_26.jpg
293,3,현훈(Vertigo),"오심, 발한, 어지러움, 구토","메니에르병, 이석증, 전정신경염, 뇌졸중","신경과, 이비인후과","어지러움,어지러움증,어지럼,어지럼증,현기증",3_27.jpg
294,4,"강박 장애(Obsessive-Compulsive Disorder)","불안, 반복적인 동작, 의심","자폐증 / 자폐 스펙트럼 장애, 틱 장애, 우울증, 불안 장애",정신건강의학과,"강박신경증,강박증,강박성 장애",4_1.jpg
296,4,"공황 장애(Panic disorder)","숨막히는 느낌, 얼굴이 화끈거림, 가슴 통증, 죽음에 대한 공포, 어지러움, 발한, 가슴 두근거림, 가슴 답답, 손떨림, 오심, 온몸이 떨림, 오한, 감각 이상","심계항진, 갑상선기능항진증, 불안 장애, 부정맥",정신건강의학과,"공황발작,우발적 발작성불안,임소공포",4_3.jpg
297,4,"금단 현상(Withdrawal Phenomenon)","복시, 손떨림, 고혈압, 서맥, 저혈압, 청색증, 불안, 기운없음, 불면증, 두통, 환각, 환청, 우울","알코올 의존성, 불면증, 소화불량, 불안 장애, 우울증, 행동 및 충동 장애, 인터넷 중독",정신건강의학과,"withdrawal symptoms,금단증상",4_4.jpg
298,4,기억상실증(amnesia),"건망증, 불안, 초조함, 기억장애, 흥분, 감정 변화","외상성 치매 , 저혈당증, 해리 장애, 치매, 경미한 인지장애, 혈관성 치매, 알츠하이머병",신경과,"기억상실,단기기억상실,단기기억상실증",4_5.jpg
299,4,"분열정동 장애(Schizoaffective disorders)","와해된 언어 , 피해망상, 환각, 환시, 환청, 와해된 행동, 망상, 이상행동","우울증, 양극성 장애","정신건강의학과, 소아정신건강의학과","분열정동성장애,정신분열정동성장애,정신분열정동장애",4_6.jpg
301,4,"불안 장애(Anxiety disorder)","가슴 두근거림, 빈호흡, 빈뇨, 초조함, 불면증, 복부 불편감, 목의 이물감, 근육긴장, 피로감, 얼굴이 화끈거림, 설사","공황 장애, 수면 장애, 강박 장애","정신건강의학과, 소아정신건강의학과","불안증,不安障碍",4_8.jpg
302,4,"새집 증후군(Sick building syndrome)","코막힘, 피부 건조, 발진, 두통, 천식","두드러기, 천식, 아토피성 피부염, 알레르기 비염","가정의학과, 알레르기내과","새집병,새집신드롬",4_9.jpg
303,4,"신경성 식욕부진증(Anorexia nervosa)","저혈압, 이상행동, 체중감소, 무월경","철결핍빈혈, 골다공증, 우울증, 신경성 폭식증, 불안 장애, 섭식 장애","정신건강의학과, 소아정신건강의학과","거식증,신경성 식욕부진",4_10.jpg
305,4,"신체형 장애(Somatic symptom disorder)","온몸이 떨림, 오심, 생리불순, 손떨림, 가슴 답답, 가슴 두근거림, 얼굴이 화끈거림, 구강건조, 근육통, 권태감, 구토, 가슴 쓰림, 복부팽만감, 두통, 어지러움, 저림, 발한","건강염려증, 기분부전증, 우울증","노년내과, 정신건강의학과","신체화 장애,somatoform disorder",4_12.jpg
306,4,"아스퍼거 증후군(Asperger disorder)","감각 과민, 대인관계 어려움, 감정 변화","발달 장애, 지적장애, 주의력결핍 과잉행동장애, 자폐증 / 자폐 스펙트럼 장애","정신건강의학과, 소아정신건강의학과","아스퍼거 장애,아스페르거 증후군",4_13.jpg
307,4,"알코올 의존성(Dependance of alcohol)","반사회적 인격장애, 불안, 금단증상","알코올성 간질환, 태아 알코올 증후군",정신건강의학과,"알코올 중독,알코올 중독증,알콜 중독,알콜중독증,알콜홀릭",4_14.jpg
308,4,"양극성 장애(Bipolar disorder)","말을 많이 함, 높아진 자존심, 우울, 망상, 사고의 비약","우울증, 기분부전증","정신건강의학과, 소아정신건강의학과","조울병,조울증",4_15.jpg
309,4,"우울증(Depressive disorder)","수면장애, 식욕부진, 환각, 자살의 위험, 삶에 대한 흥미 상실, 망상, 오후 우울감 완화","산후 우울증, 수면 장애","정신건강의학과, 소아정신건강의학과","우울병,우울장애,울병,주요 우울장애",4_16.jpg
310,4,"적응 장애(Adjustment disorder)","희망이 없는 느낌, 걸핏하면 눈물지음, 우울","행동 및 충동 장애, 우울증, 사회공포증","정신건강의학과, 소아정신건강의학과",,4_17.jpg
311,4,조현병(정신분열병)(schizophrenia),"피해망상, 와해된 행동, 환각, 무욕증, 망상, 와해된 언어 , 정서적 둔마, 무논리증","양극성 장애, 분열정동 장애, 망상 장애","정신건강의학과, 소아정신건강의학과","정신분열,정신분열증",4_18.jpg
312,4,"태아 알코올 증후군(Fetal alcohol syndrome)","태아, 신생아의 기형, 태아, 신생아의 정신 장애","선천성 기형","산부인과, 신생아과","FASD,Fetal alcohol spectrum disorder,태아알코올스펙트럼장애,태아알콜중후군",4_19.jpg
314,5,"VDT 증후군(Visual Display Terminal Syndrome)","어깨의 통증, 눈의 충혈, 피로감, 눈의 피로, 두통, 굽은 등, 저림, 손의 통증, 어깨 움직임의 제한","만성 피로 증후군, 거북목 증후군",정형외과,"VDT,VDT syndrome,VDT 신드롬,Visual Display Terminal Syndrome,영상 단말기 증후군",5_1.jpg
315,5,가성근시(Pseudomyopia),"시력 감소",근시,"안과, 소아안과",,5_2.jpg
316,5,"각막 궤양(Corneal ulcer)","눈의 통증, 눈부심, 눈물흘림, 눈의 충혈","각막염, 헤르페스 바이러스 감염, 대상포진, 각막 혼탁과 흉터","안과, 소아안과","감염성 각막염",5_3.jpg
317,5,"각막 부종(Corneal Edema)","시야장애, 근시","각막염, 각막 혼탁과 흉터",안과,"각막 중심부 부종,각막 후면 부종",5_4.jpg
318,5,"각막 혼탁과 흉터(Corneal opacity and scar)","환부의 분비물, 시력 감소, 눈부심, 눈의 통증, 안구혼탁, 눈의 피로","진균성 각막 궤양, 원추각막, 각막 궤양",안과,"각막반흔,각막혼탁,각막흉터",5_5.jpg
319,5,각막염(Keratitis),"눈의 통증, 눈의 충혈, 눈부심, 시력 감소, 안구혼탁, 눈물흘림","각막 혼탁과 흉터, 헤르페스 바이러스 감염, 진균성 각막 궤양, 각막 궤양",안과,각막염증,5_6.jpg
321,5,결막염(Conjunctivitis),"눈꼽, 눈부심, 눈의 충혈, 눈의 자극감, 눈의 피로","각막 혼탁과 흉터, 출혈성 결막염, 각막 궤양, 알레르기성 결막염, 백일해, 안구 건조증","안과, 소아안과",,5_8.jpg
322,5,근시(Myopia),"시력 감소, 두통","약시, 망막 박리, 난시","안과, 소아안과","nearsightedness,고도근시,근시안",5_9.jpg
324,5,난시(Astigmatism),"눈의 통증, 눈의 충혈, 눈의 피로, 두통","약시, 근시, 익상편",안과,,5_11.jpg
325,5,노안(Presbyopia),"시야장애, 두통, 눈의 피로","난시, 근시","안과, 소아안과","노시안,노인성 시력장애,노화성 시력장애",5_12.jpg
326,5,"노화된 얼굴(Aging face)","코 옆과 입꼬리 주름, 이중턱, 아래 눈꺼풀이 불룩함, 눈가 및 이마 주름, 볼이 처짐, 볼, 눈주위 움푹 꺼짐, 눈꺼풀 처짐증","비립종, 광선 각화증, 한관종, 악성 흑색종",성형외과,"노안,늙은 얼굴,얼굴 노화",5_13.jpg
327,5,녹내장(Glaucoma),"주변시야손상, 두통, 암점, 눈의 통증, 시력 감소, 중심시력감소","포도막염, 당뇨망막병증, 망막 정맥 폐쇄",안과,,5_14.jpg
328,5,"눈꺼풀 장애(Disorders of eyelid)","눈꺼풀 처짐증","안검하수, 안검염, 안검내반","성형외과, 안과","눈꺼풀 이상",5_15.jpg
329,5,눈물흘림증(Epiphora),"환부의 분비물, 고름, 시야장애, 눈꼽, 눈물흘림, 유루증","안구 건조증, 눈꺼풀 장애, 알레르기성 결막염",안과,유루증,5_16.jpg
330,5,"당뇨망막병증(Diabetic retinopathy)","시야장애, 광시증, 황반부종, 시력 감소, 사물이 찌그러져 보임, 비문증","망막 박리, 인슐린 의존성 당뇨병, 인슐린 비의존성 당뇨병, 유리체 출혈, 당뇨망막병증",안과,당뇨망막증,5_17.jpg
333,5,"망막 열공(retina tear)","시야장애, 눈의 충혈, 눈부심","비문증, 망막 박리, 황반천공, 황반변성, 망막 정맥 폐쇄, 망막 출혈, 망막 전막",안과,망막천공,5_20.jpg
334,5,"망막 전막(Epiretinal membrane)","시력 감소, 사물이 찌그러져 보임","황반천공, 황반변성",안과,,5_21.jpg
335,5,"망막 정맥 폐쇄(Retinal vein occlusion)","시야장애, 시력 감소, 무증상","녹내장, 당뇨망막병증, 고지혈증, 죽상경화증, 당뇨병, 고혈압",안과,"망막분지정맥폐쇄,망막중심정맥폐쇄 퍼가기",5_22.jpg
336,5,"망막 출혈(Retinal hemorrhage)","시력 감소, 시야장애","망막 박리, 당뇨망막병증, 황반변성",안과,,5_23.jpg
337,5,"망막색소변성증(Retinitis Pigmentosa)","터널시야, 시력 감소, 야맹",야맹증,안과,"망막색소병증,색소성망막염",5_24.jpg
338,5,망막아세포종(Retinoblastoma),"동공산대, 안구증대, 사경, 시력 감소, 사시, 동공이 흰빛으로 반짝임","맥락막 흑색종, 악성 흑색종","소아청소년종양혈액과, 안과",망막모세포종,5_25.jpg
339,5,"맥락막 흑색종(Choroidal melanoma)","비문증, 광시증, 눈의 충혈, 시력 감소","망막 박리, 비문증","종양내과, 방사선종양학과, 안과","맥락막 악성흑생종",5_26.jpg
340,5,맥립종(Stye),발적,봉와직염,"안과, 소아안과","눈다래기,눈다래끼,눈다래키,다래기,다래끼,다래키",5_27.jpg
341,5,"미숙아 망막병증(Retinopathy of Prematurity)",무증상,"사시, 망막 박리, 녹내장, 약시","신생아과, 안과, 소아안과","premature infant of Retinopathy,preterm infant Retinopathy,미숙아 망막증",5_28.jpg
342,5,백내장(Cataract),"시력 감소, 안구혼탁, 눈부심, 복시","당뇨병, 당뇨망막병증, 포도막염, 녹내장",안과,,5_29.jpg
343,5,복시(Diplopia),"사물이 두개로 보임","수정체 탈구, 익상편, 백내장, 당뇨병, 중증 근무력증, 난시, 뇌졸중, 원추각막, 사시","안과, 소아안과",,5_30.jpg
344,5,"비루관 폐쇄(Nasolacrimal duct obstruction)","눈꼽, 환부의 분비물, 눈물흘림, 압통","결막염, 만성 부비동염, 부비동염",안과,"눈물길폐쇄,누관 폐쇄,눈물샘 막힘",5_31.jpg
346,5,사시(Strabismus),"눈의 피로, 두통, 눈운동신경마비, 눈부심, 시력 감소, 복시, 구토, 증상의 일중변동, 사시","선천성 눈 기형, 중증 근무력증, 약시, 망막아세포종, 양성 뇌종양","안과, 소아안과",소아사시,5_33.jpg
347,5,"색약(color amblyopia)","색깔이 퇴색해보임, 색맹","녹내장, 시신경염, 황반변성",안과,"색각 이상,색맹",5_34.jpg
349,5,"선천성 색소결핍증(Congenital Albinism)","모발 탈색","피부암, 백반증, 광선 각화증, 선천성 눈 기형, 선천성 기형","피부과, 의학유전학센터, 의학유전학과","백색증,알비노,하얀병",5_36.jpg
350,5,"설맹(Snow blindness)","눈의 통증, 시력 감소, 안구혼탁, 야맹","각막 혼탁과 흉터",안과,,5_37.jpg
351,5,"수정체 탈구(Lens luxation)","홍채가 흔들거림, 앞이 뿌옇게 보임, 시야장애","엘러스-단로스 증후군 , 마르판 증후군 , 안와 골절",안과,수정체탈구증,5_38.jpg
352,5,"스티븐 존슨 증후군(Stevens Johnson syndrome)","물집, 물집성 표피 박리, 체모감소, 배뇨곤란, 호흡곤란, 압통, 안구건조, 결막염, 피부 및 점막의 염증, 반점, 코플릭 반점","호중구감소증, 안구 건조증, 이식편대숙주질환, 폐렴, 탈락 피부염","안과, 알레르기내과","스티븐존슨병,피부점막안증후군",5_39.jpg
353,5,"시신경염(Optic neuritis)","색깔이 퇴색해보임, 눈의 통증, 시야장애","매독, 상기도 감염, 결핵, 홍역, 이하선염, 다발성 경화증","신경과, 안과, 소아신경과",시신경염증,5_40.jpg
354,5,안검내반(Entropion),"눈물흘림, 눈부심, 눈비빔","각막염, 결막염, 각막 궤양",안과,"눈꺼풀 속말림,부안검,안검내번",5_41.jpg
355,5,안검염(Blepharitis),"눈의 자극감, 궤양, 안검내반, 이물감, 눈 주변 부종, 소양감, 눈의 충혈, 고름","안검하수, 안구 건조증, 결막염, 맥립종",안과,눈꺼풀염증,5_42.jpg
356,5,"안검하수(Ptosis of eyelid)","이마의 주름, 약시, 눈꺼풀 처짐증","중증 근무력증, 근육병, 눈꺼풀 장애","성형외과, 안과, 소아안과","눈꺼풀 처짐증",5_43.jpg
357,5,안검황색종(Xanthelasma),"눈 주위 노란 반점",비립종,"성형외과, 피부과","Xanthoma palpebrum,눈꺼풀황색판종",5_44.jpg
360,5,"안암(eye cancer)","눈의 충혈, 종양부위 부종","기저세포 암종, 악성 흑색종, 맥락막 흑색종, 망막아세포종","종양내과, 방사선종양학과, 안과, 암병원","눈암,안구암,눈의 악성 종양",5_47.jpg
361,5,"안와 골절(orbital fracture)","눈 주변 부종, 얼굴부종, 안구 이상, 시력 감소, 복시, 비출혈, 감각 이상","안면 골절","성형외과, 안과",,5_48.jpg
362,5,"알레르기성 결막염(Allergic conjunctivitis)","환부의 분비물, 눈 주변 부종, 소양감, 눈의 충혈","아토피성 피부염, 피부염, 결막염, 천식, 알레르기 비염","안과, 알레르기내과","고초열성 결막염,아토피성 각결막염,알레르기성 결막염,접촉성 안검염,접촉성 안검염에 의한 결막염,춘계 각결막염,플릭텐성 각결막염,알러지성 결막염",5_49.jpg
363,5,"야맹증(Night blindness)",야맹,"설맹, 간디스토마, 망막색소변성증",안과,,5_50.jpg
364,5,약시(Amblyopia),"시력 감소","난시, 사시, 안검하수, 근시, 선천성 눈 기형, 백내장, 망막아세포종","안과, 소아안과",약시안,5_51.jpg
365,5,양안격리증(Hypertelorism),"코의 기형 동반, 시력 감소, 사시, 눈 사이가 멀어보임","두개 안면 부조화",성형외과,"두눈먼거리증,안와이개증,양안과다격리증",5_52.jpg
366,5,"외꺼풀(Oriental eyelid)",,안검내반,성형외과,홑꺼풀,5_53.jpg
367,5,원추각막(Keratoconus),"눈부심, 눈의 자극감, 시력 감소, 대비감 감소","복시, 갑상선기능항진증, 갑상선중독증",안과,원뿔각막,5_54.jpg
368,5,"유리체 출혈(Vitreous hemorrhage)","비문증, 시력 감소","망막 정맥 폐쇄, 당뇨망막병증, 고혈압, 당뇨병",안과,"초자체 출혈",5_55.jpg
369,5,익상편(Pterygium),"각막 위로 결막 침범, 무증상, 눈의 충혈, 시력 감소",난시,안과,군날개,5_56.jpg
371,5,"진균성 각막 궤양(Fungal corneal ulcers)","시력 감소, 눈의 통증, 눈의 자극감, 눈의 피로","각막 궤양, 조갑백선, 무좀, 각막 혼탁과 흉터, 곰팡이 감염, 각막염",안과,"corneal fungal infection,각막진균증,진균성 각막궤양",5_58.jpg
372,5,"출혈성 결막염(Hemorrhagic conjunctivitis)","눈의 통증, 눈의 충혈, 눈의 자극감, 눈꼽, 눈의 피로, 눈부심","각막 궤양, 알레르기성 결막염, 안구 건조증, 결막염, 각막 혼탁과 흉터","안과, 소아안과","급성 아폴로눈병,급성출혈성결막염,아폴로눈병,유행성출혈성결막염",5_59.jpg
373,5,"칼만 증후군(Kallmann syndrome)","색맹, 후각장애, 사춘기 지연, 입술, 입천장의 기형, 성선 기능 저하증","골다공증, 구순열, 성선기능저하증, 무월경, 원발성 월경곤란, 희발월경, 색약","내분비내과, 신경외과, 의학유전학센터, 소아내분비대사과, 의학유전학과",칼만신드롬,5_60.jpg
374,5,포도막염(Uveitis),"시력 감소, 눈의 통증, 광과민성, 앞이 뿌옇게 보임, 눈의 충혈, 비문증, 눈부심","망막 박리, 망막 정맥 폐쇄, 류마티스 관절염, 결핵, 녹내장, 베체트 병, 매독, 홍채염",안과,,5_61.jpg
375,5,홍채염(Iritis),"눈부심, 눈물흘림, 눈의 통증, 눈의 충혈","당뇨망막병증, 각막 혼탁과 흉터, 진균성 각막 궤양, 각막 궤양, 당뇨병, 각막염","안과, 소아안과","홍채모양체염,홍채염증",5_62.jpg
377,5,"황반변성(Macular degeneration)","시력 감소, 글자가 휘어져보임, 시야장애","중심장액성 맥락망막병증, 노화, 유리체 출혈, 망막 출혈, 녹내장, 고콜레스테롤혈증",안과,"노년 황반변성,황반 및 후극부의 변성 퍼가기",5_64.jpg
378,5,"황반천공(Macular hole)","실명, 시력 감소","망막 전막",안과,황반원공,5_65.jpg
379,6,각기병(Beriberi),"체중감소, 무감각, 식욕부진, 권태감, 근력 약화","알코올 의존성, 구루병",신경과,"각기병증,비타민 B1결핍증,비타민B1부족증,티아민결핍증",6_1.jpg
380,6,"건 손상(Tendon injury)","발끝으로 설 수 없음, 발 굴곡 운동의 제한, 환부 통증, 손가락 운동장애","수부 외상, 회전근개 증후군",정형외과,"힘줄손상,힘줄파열",6_2.jpg
381,6,"경골과 비골 골절(Fracture of tibia & fibula)","손상 부위 출혈, 손상 부위 통증, 하지부종, 다리변형","원위 요골과 척골 골절, 골절 후 부정 유합, 불유합, 대퇴 골절",정형외과,"경골 골절,비골 골절",6_3.jpg
382,6,"고관절 이형성증(DDH (developmental dysplasia of the hip))","다리가 잘 안 벌어짐, 오리걸음, 귀두가 울혈됨, 다리의 길이가 틀림","대퇴골두 무혈관성 괴사","정형외과, 소아정형외과","발달성고관절이형성증,발달성고관절탈구,선천성고관절이형성증,선천성고관절탈구,신생아고관절탈구,아기고관절탈구",6_4.jpg
383,6,골관절염(Osteoarthritis),"관절 운동성 감소, 무릎 부위 부종, 관절의 경직, 관절통, 무릎 부위 통증","류마티스 관절염, 패혈성 관절염, 관절염, 소아 류마티스 관절염","정형외과, 류마티스내과","DJD,degenerative arthritis,degenerative joint disease,퇴행성관절염",6_5.jpg
384,6,골육종(Osteosarcoma),"환부 통증, 덩어리가 만져짐, 뼈의 통증","뼈의 신생물","종양내과, 방사선종양학과, 소아청소년종양혈액과, 정형외과","골암,골원성육종,뼈암",6_6.jpg
386,6,관절염(Arthritis),"압통, 뻣뻣함, 환부 부종, 발적","류마티스 관절염, 패혈성 관절염, 강직성 척추염, 슬관절 장애, 슬개건염, 골관절염","재활의학과, 정형외과, 류마티스내과, 알레르기내과","Arthrosis,Osteo-arthrosis,골관절증,관절의 염증,관절증,뼈마디염",6_8.jpg
387,6,구루병(Rickets),"굽은 등, 다리변형, 림프 부종, 발한, 뼈의 기형, 창백, 뼈의 변형, O자 다리, 새가슴",내반슬,"정형외과, 소아정형외과",,6_9.jpg
389,6,근감소증(Sarcopenia),"보행이상, 하지의 근력약화, 피로감, 근력 약화","노화, 노쇠, 골다공증",노년내과,,6_11.jpg
390,6,"내반슬(Bow leg)","오리걸음, 발이 안쪽을 향해 걸음, O자 다리, 양무릎사이 벌어짐","구루병, 외반슬",소아정형외과,"O자 다리,Geno varum",6_12.jpg
391,6,내연골종(Enchondroma),"감각 이상, 뼈의 변형, 환부 부종, 병적골절","골괴사, 이소성 골화증, 병리적 골절","정형외과, 소아정형외과","내연골종증,올리에르병",6_13.jpg
392,6,"당뇨병성 말초신경병증(Diabetic polyneuropathy)","무감각, 손, 발 감각 저하, 말초 신경장애, 저림, 말초 통증","인슐린 의존성 당뇨병, 당뇨병, 당뇨병성 족부 질환, 인슐린 비의존성 당뇨병, 당뇨망막병증",내분비내과,"당뇨병성신경병증,당뇨성말초신경병증,당뇨성신경병증",6_14.jpg
394,6,"대퇴골두 무혈관성 괴사(AVN of hip(femoral head))","골반 통증, 양반다리로 앉기힘듬","대퇴 골절",정형외과,"고관절무혈성괴사,대퇴골두무혈성괴사,대퇴골두무혈성괴사증,대퇴골무혈성괴사",6_16.jpg
395,6,"류마티스 관절염(Rheumatoid arthritis)","손마디가 뻣뻣해짐, 열감, 관절의 경직, 다발성 관절염, 관절통","관절염, 패혈성 관절염, 소아 류마티스 관절염, 골관절염",류마티스내과,"류마토이드관절염,류마토이드성관절염,류머토이드관절염,류머토이드성관절염,류머티스 관절염,류머티스관절,류머티스성 관절염",6_17.jpg
396,6,림프부종(Lymphedema),"사지 부종, 피부 긴장도 저하, 피부균열","유방암, 전립선암, 자궁경부암, 자궁내막암, 난소암, 질암, 자궁 육종, 외음부암","산부인과, 성형외과, 혈관외과, 재활의학과","림프수종,임파종대",6_18.jpg
398,6,"반달연골 이상(Meniscus derangements)","관절 운동성 감소, 무릎 부위 부종, 무릎 부위 통증","슬관절 장애, 반월판 연골손상, 관절염, 원판형 반월상연골",정형외과,"무릎십자인대,무릎십자인대손상,무릎십자인대수술,무릎십자인대이상,반달연골 손상",6_20.jpg
399,6,"반월판 연골손상(Tear of meniscus)","관절통, 관절 불안정증, 무릎 부위 부종, 관절잡음, 관절의 경직, 무릎 부위 통증","슬관절 장애, 슬개건염",정형외과,"무릎결림,무릎관절염,무릎손상,반월상연골손상,반월판연골통증",6_21.jpg
400,6,"베이커 낭종(Baker's cyst)","관절 운동성 감소, 관절의 경직, 무릎 부위 통증, 무릎 부위 부종","반월판 연골손상",정형외과,"무릎뒤 물혹,베이커씨낭종,슬와낭종",6_22.jpg
401,6,"변형성 고관절증(Coxarthrosis)","관절 운동성 감소, 골반 통증, 보행이상","골관절염, 관절염",정형외과,,6_23.jpg
402,6,"병리적 골절(Pathological fracture)","마찰음 , 감각 이상, 근육강직, 뼈의 변형, 환부 통증, 환부 부종","골육종, 골다공증, 뼈의 신생물, 골괴사, 피로 골절, 내연골종",정형외과,"병적 골절",6_24.jpg
403,6,"뼈의 신생물(Neoplasm of the bone)","덩어리가 만져짐, 종양부위 부종, 암 부위별로 다름","내연골종, 골육종, 전이 암, 폐암, 유방암","종양내과, 소아청소년종양혈액과, 정형외과","골종양,뼈종양",6_25.jpg
404,6,"소아 류마티스 관절염(Juvenile rheumatoid arthritis)","관절통, 손마디가 뻣뻣해짐, 뻣뻣함, 환부 부종, 관절 운동성 감소, 관절의 경직","포도막염, 골관절염, 심낭염, 관절염, 류마티스 관절염","소아정형외과, 류마티스내과","류마토이드소아관절염,류마티스소아관절염,류머토이드소아관절염,류머티스소아,류머티스소아관절염,소아류마토이드관절염,소아류마티스관절염,소아류머토이드관절염,연소기 류머티스 관절염",6_26.jpg
405,6,소아마비(Polio),"이완성 마비, 무균성 뇌막염, 열","뇌성 마비",어린이병원,"척수성소아마비,폴리오,회백수염",6_27.jpg
406,6,"슬개건염(Patellar tendinitis)","압통, 관절잡음, 열감","원판형 반월상연골, 반월판 연골손상, 슬관절 장애",정형외과,"Jumper knee,슬개건 염증,슬개골 건염",6_28.jpg
407,6,"슬개골 골절(Patella Fracture)","무릎 부위 부종, 압통, 무릎 부위 통증","경골과 비골 골절, 관절염, 슬관절 장애, 슬개건염",정형외과,"슬개뼈 골절,슬관절 골절,접시뼈 골절",6_29.jpg
408,6,"슬관절 장애(Internal derangement of knee)","무릎 부위 부종, 무릎 부위 통증","관절염, 대퇴 골절, 류마티스 관절염, 슬개건염, 골관절염, 패혈성 관절염",정형외과,"무릎 관절 장애",6_30.jpg
409,6,신경근병증(Radiculopathy),"근력 약화, 감각 이상, 목의 통증, 방사통, 요통","경추 추간판 탈출증, 요추관 협착증","신경과, 정형외과",신경뿌리병증,6_31.jpg
410,6,신경종(Neuroma),"환부 부종, 저림, 환부 통증","지간 신경종, 청신경초종","신경과, 신경외과",신경종양,6_32.jpg
411,6,"신체 내 지방 불균형(Body fat imbalance)",,"신체 내 지방 불균형",성형외과,"미용 목적의 체형교정술,지방 흡입,체형교정술",6_33.jpg
412,6,"십자 인대 손상(Cruciate Ligament Injuries)","관절 불안정증, 환부 부종, 관절잡음, 파열음, 무릎 부위 부종, 무릎 부위 통증","원판형 반월상연골, 반월판 연골손상, 슬관절 장애, 반달연골 이상, 슬개건염",정형외과,"십자인대부상,십자인대파열,전방십자인대손상,후방십자인대손상",6_34.jpg
413,6,"아킬레스 건 파열(Acute achilles tendon rupture)","발의 통증, 파열부위 오목해짐, 파열음, 발끝으로 설 수 없음","건 손상, 슬개건염, 소건막류, 건초염, 아킬레스 건염",정형외과,"아켈리스 건 파열",6_35.jpg
